GroupDescription,MigrYr,SpeciesCode,RearCode,RaceCode,SAR_Reach,JuvPop,SARwoJacks,SARwoJacks_LCI,SARwoJacks_UCI,SARwJacks,SARwJacks_LCI,SARwJacks_UCI
Snake River Wild Spring_Summer Chinook,1994,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,15260,0.43,0.22,0.66,0.47,0.24,0.7
Snake River Wild Spring_Summer Chinook,1995,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,20206,0.35,0.2,0.52,0.35,0.19,0.52
Snake River Wild Spring_Summer Chinook,1996,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,7868,0.42,0.06,0.84,0.43,0.06,0.85
Snake River Wild Spring_Summer Chinook,1997,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,2898,1.73,0.97,2.68,1.78,0.99,2.73
Snake River Wild Spring_Summer Chinook,1998,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,17363,1.21,0.82,1.64,1.25,0.84,1.7
Snake River Wild Spring_Summer Chinook,1999,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,33662,2.39,1.89,2.94,2.55,2.03,3.09
Snake River Wild Spring_Summer Chinook,2000,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,25053,1.71,1.22,2.24,1.72,1.25,2.2
Snake River Wild Spring_Summer Chinook,2001,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,22415,1.27,0.54,2.11,1.45,0.7,2.32
Snake River Wild Spring_Summer Chinook,2002,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,23356,0.92,0.75,1.1,1.04,0.83,1.24
Snake River Wild Spring_Summer Chinook,2003,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,31093,0.34,0.26,0.41,0.34,0.26,0.42
Snake River Wild Spring_Summer Chinook,2004,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,32546,0.52,0.43,0.63,0.54,0.44,0.64
Snake River Wild Spring_Summer Chinook,2005,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,35216,0.22,0.17,0.28,0.24,0.18,0.3
Snake River Wild Spring_Summer Chinook,2006,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,15283,0.69,0.58,0.8,0.74,0.63,0.85
Snake River Wild Spring_Summer Chinook,2007,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,14953,0.98,0.84,1.11,1.09,0.95,1.23
Snake River Wild Spring_Summer Chinook,2008,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,18531,2.75,2.56,2.94,3.24,3.04,3.46
Snake River Wild Spring_Summer Chinook,2009,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,18775,1.45,1.3,1.6,1.61,1.45,1.76
Snake River Wild Spring_Summer Chinook,2010,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,26604,0.74,0.65,0.83,0.93,0.83,1.03
Snake River Wild Spring_Summer Chinook,2011,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,23327,0.33,0.27,0.4,0.36,0.3,0.43
Snake River Wild Spring_Summer Chinook,2012,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,21559,1.1,0.99,1.22,1.43,1.31,1.57
Snake River Wild Spring_Summer Chinook,2013,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,19033,1.2,1.07,1.34,1.36,1.22,1.51
Snake River Wild Spring_Summer Chinook,2014,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,21434,0.52,0.44,0.6,0.57,0.48,0.66
Snake River Wild Spring_Summer Chinook,2015,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,12352,0.23,0.17,0.31,0.29,0.21,0.37
Snake River Wild Spring_Summer Chinook,2016,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,16647,0.34,0.26,0.41,0.38,0.3,0.47
Snake River Wild Spring_Summer Chinook,2017,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,6861,0.17,0.1,0.26,0.19,0.1,0.27
Snake River Wild Spring_Summer Chinook,2018,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,18978,0.44,0.36,0.52,0.5,0.42,0.58
Snake River Wild Spring_Summer Chinook,2019,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,11659,0.67,0.55,0.79,0.74,0.61,0.87
